TYPE,WDPAID,NAME,IUCN_CAT,MARINE,REP_AREA,GIS_AREA,GIS_AREA_imputed,NO_TAKE,STATUS,STATUS_YR,ISO3,GOV_TYPE
Polygon,555698070,Sitio Histórico e Patrimonio Cultural Kalunga,VI,0,2619.999,2816.32043272386,False,Unknown,Established,0,BRA,Local communities
Polygon,555721646,Iña Wampisti Nunke,VI,0,13277.0,13452.0,False,Unknown,Established,0,PER,Indigenous peoples
Polygon,555697588,Pueblo Originario Kichwa de Sarayaku,Not Assigned,0,1427.51404306,1426.26025358,False,Unknown,Established,0,ECU,Indigenous peoples
Polygon,555645497,Territorio del Pueblo Shuar Arutam,Not Assigned,0,2325.336,2321.66117048435,False,Unknown,Established,0,ECU,Indigenous peoples
Polygon,555592599,Palmera de Sao,Not Reported,0,7.576763,7.58288474773159,False,Unknown,Designated,2006,BOL,Sub-national ministry or agency
Polygon,555592600,Laguna Concepcion,Not Reported,0,467.824634,467.851640890416,False,Unknown,Designated,2002,BOL,Sub-national ministry or agency
Polygon,555592601,Laguna Quirusillas,Not Reported,0,61.351878,61.3852749206541,False,Unknown,Designated,2004,BOL,Sub-national ministry or agency
Polygon,902258,Humedales Chaco,Not Reported,0,5080.0,4821.60762384183,False,Unknown,Designated,2004,ARG,Not Reported
Polygon,16894,Laguna de los Pozuelos - Zona de amortiguamiento,Not Applicable,0,160.0,5239.33981844782,False,Unknown,Designated,1990,ARG,Not Reported
Polygon,21225,Acambuco,VI,0,82.66,80.0378589510631,False,Unknown,Designated,2004,ARG,Sub-national ministry or agency
Polygon,555592602,San Rafael,Not Reported,0,672.602728,671.325728893716,False,Unknown,Designated,2004,BOL,Sub-national ministry or agency
Polygon,352599,Wassu-Cocal,Not Reported,0,27.580938,27.4076596796237,False,Unknown,Designated,1988,BRA,Indigenous peoples
Polygon,33986,Tirecatinga,Not Reported,0,1305.751964,1304.79707508746,False,Unknown,Designated,1987,BRA,Indigenous peoples
Polygon,115701,Juininha,Not Reported,0,705.375203,703.252247406871,False,Unknown,Designated,1994,BRA,Indigenous peoples
Polygon,352577,Cantagalo,Not Reported,0,2.836761,2.83896438615627,False,Unknown,Designated,2007,BRA,Indigenous peoples
Polygon,34078,São Marcos - MT,Not Reported,0,1884.78,1742.10865791133,False,Unknown,Designated,1989,BRA,Indigenous peoples
Polygon,33964,Merure,Not Reported,0,823.011363,827.864027818091,False,Unknown,Designated,1987,BRA,Indigenous peoples
Polygon,352265,Anaro,Not Reported,0,304.739506,304.60971169102,False,Unknown,Designated,2009,BRA,Indigenous peoples
Polygon,352264,São Marcos - RR,Not Reported,0,6541.1,6510.65679944536,False,Unknown,Designated,2002,BRA,Indigenous peoples
Polygon,342462,Mallasa,Not Reported,0,3.005138,2.16946938315988,False,Unknown,Designated,1972,BOL,Sub-national ministry or agency
Polygon,555592617,Parque de Aranjuez,Not Reported,0,3.005534,0.306709138897344,False,Unknown,Designated,2000,BOL,Sub-national ministry or agency
Polygon,555592618,Muela del Diablo y Cerro Pachajalla,Not Reported,0,3.004952,12.9737838580871,False,Unknown,Designated,2000,BOL,Sub-national ministry or agency
Polygon,342487,Flavio Machicado Viscarra,Not Reported,0,0.668733,0.663758948079204,False,Unknown,Designated,1963,BOL,Sub-national ministry or agency
Polygon,555592672,Cañon de Chuwaqueri,Not Reported,0,3.004194,2.98582777443769,False,Unknown,Designated,1999,BOL,Sub-national ministry or agency
Polygon,352522,Faxinal,Not Reported,0,20.438948,18.8522119488468,False,Unknown,Designated,1991,BRA,Indigenous peoples
Polygon,352532,Xapecó,Not Reported,0,156.239581,155.889837335914,False,Unknown,Designated,1991,BRA,Indigenous peoples
Polygon,555625777,Guaratuba,V,1,383.2934,383.294150342733,False,Unknown,Designated,2017,BRA,Federal or national ministry or agency
Polygon,34036,Rio Mequens,Not Reported,0,1075.530101,1077.7302754625,False,Unknown,Designated,1997,BRA,Indigenous peoples
Polygon,352569,Peruíbe,Not Reported,0,4.804737,4.81180558796332,False,Unknown,Designated,1994,BRA,Indigenous peoples
Polygon,555592624,Kellumani,Not Reported,0,3.005884,0.929751928286833,False,Unknown,Designated,2000,BOL,Sub-national ministry or agency
Polygon,342494,Lomas de Arena,Not Reported,0,134.537864,134.644668554328,False,Unknown,Designated,1991,BOL,Sub-national ministry or agency
Polygon,555592625,Serranías de Aruntaya,Not Reported,0,3.006167,1.80487377838076,False,Unknown,Designated,2000,BOL,Sub-national ministry or agency
Polygon,342465,Yacuma,Not Reported,0,2216.977155,2212.72284401928,False,Unknown,Designated,1987,BOL,Sub-national ministry or agency
Polygon,352406,Atikum,Not Reported,0,162.901893,163.044992270413,False,Unknown,Designated,1996,BRA,Indigenous peoples
Polygon,33994,Andirá-Marau,Not Reported,0,7885.28,7905.8252016016,False,Unknown,Designated,1987,BRA,Indigenous peoples
Polygon,34030,Igarapé Lage,Not Reported,0,1073.211789,1073.23035832315,False,Unknown,Designated,1981,BRA,Indigenous peoples
Polygon,34032,Igarapé Ribeirão,Not Reported,0,478.633178,478.578387237127,False,Unknown,Designated,1981,BRA,Indigenous peoples
Polygon,115520,Caititu,Not Reported,0,3080.626156,3097.09635377417,False,Unknown,Designated,1988,BRA,Indigenous peoples
Polygon,115992,Jacaré de São Domingos,Not Reported,0,50.322431,50.3073295113152,False,Unknown,Designated,1995,BRA,Indigenous peoples
Polygon,33844,Camicua,Not Reported,0,585.195999,583.953478435708,False,Unknown,Designated,1995,BRA,Indigenous peoples
Polygon,352319,Kumaru do Lago Ualá,Not Reported,0,800.358819,799.094776855588,False,Unknown,Designated,2005,BRA,Indigenous peoples
Polygon,555625775,Ilha Grande National Park,II,0,760.331,761.376421839095,False,Unknown,Designated,2017,BRA,Federal or national ministry or agency
Polygon,555592626,Las Animas Putupampa,Not Reported,0,3.005695,25.4040069107954,False,Unknown,Designated,2000,BOL,Sub-national ministry or agency
Polygon,352595,Fulni-ô,Not Reported,0,115.05,115.251549513874,False,Unknown,Designated,2008,BRA,Indigenous peoples
